update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
0,competion,0.270992366,196.5,47.5,2,0.36259542,196.5,71.5,2,0.270992366,196.5,47.5,2
1,competion,0.270992366,196.5,47.5,2,0.36259542,196.5,71.5,2,0.270992366,196.5,47.5,2
2,competion,0.270992366,196.5,47.5,2,0.36259542,196.5,71.5,2,0.270992366,196.5,47.5,2
3,competion,0.270992366,196.5,47.5,2,0.36259542,196.5,71.5,2,0.270992366,196.5,47.5,2
4,competion,0.300254453,174.6666667,47.33333333,3,0.36259542,196.5,71.5,2,0.300254453,174.6666667,47.33333333,3
5,competion,0.300254453,174.6666667,47.33333333,3,0.361323155,174.6666667,63.33333333,3,0.300254453,174.6666667,47.33333333,3
6,competion,0.300254453,174.6666667,47.33333333,3,0.36259542,196.5,71.5,4,0.300254453,174.6666667,47.33333333,3
7,competion,0.300254453,174.6666667,47.33333333,3,0.36259542,196.5,71.5,4,0.300254453,174.6666667,47.33333333,3
8,competion,0.288549618,183.4,47.4,5,0.36259542,196.5,71.5,4,0.323664122,157.2,47.2,5
9,competion,0.300254453,174.6666667,47.33333333,6,0.36259542,196.5,71.5,4,0.300254453,174.6666667,47.33333333,6
10,competion,0.300254453,174.6666667,47.33333333,6,0.36259542,196.5,71.5,4,0.300254453,174.6666667,47.33333333,6
11,competion,0.300254453,174.6666667,47.33333333,6,0.36259542,196.5,71.5,4,0.300254453,174.6666667,47.33333333,6
12,competion,0.300254453,174.6666667,47.33333333,6,0.361323155,174.6666667,63.33333333,6,0.308615049,168.4285714,47.28571429,7
13,competion,0.32339232,157.3,47.2,10,0.36259542,196.5,71.5,8,0.323664122,157.2,47.2,10
14,competion,0.32339232,157.3,47.2,10,0.36259542,196.5,71.5,8,0.323664122,157.2,47.2,10
15,competion,0.32339232,157.3,47.2,10,0.36259542,196.5,71.5,8,0.323664122,157.2,47.2,10
16,competion,0.32339232,157.3,47.2,10,0.36259542,196.5,71.5,8,0.323664122,157.2,47.2,10
17,competion,0.333308549,149.8571429,47.14285714,15,0.36259542,196.5,71.5,8,0.329516539,152.8333333,47.16666667,12
18,competion,0.321529883,158.6842105,47.21052632,20,0.362171332,189.2222222,68.77777778,9,0.323664122,157.2,47.2,20
19,competion,0.321529883,158.6842105,47.21052632,20,0.361959288,185.5833333,67.41666667,12,0.323664122,157.2,47.2,20
20,competion,0.321529883,158.6842105,47.21052632,20,0.36259542,196.5,71.5,16,0.323664122,157.2,47.2,20
21,competion,0.321529883,158.6842105,47.21052632,20,0.36259542,196.5,71.5,16,0.328244275,153.7826087,47.17391304,23
22,competion,0.333308549,149.8571429,47.14285714,29,0.36259542,196.5,71.5,16,0.333520678,149.6785714,47.10714286,28
23,competion,0.335773395,148.0322581,47.12903226,32,0.36259542,196.5,71.5,16,0.33758074,146.8484848,47.12121212,33
24,competion,0.336492309,147.5,47.125,33,0.36259542,196.5,71.5,16,0.338204207,146.3823529,47.11764706,34
25,competion,0.336492309,147.5,47.125,33,0.361832061,183.4,66.6,20,0.338792048,145.9428571,47.11428571,35
26,competion,0.340353031,144.5897436,47.1025641,40,0.362454057,194.0740741,70.59259259,28,0.342510481,143.1627907,47.09302326,43
27,competion,0.337329401,146.86,47.12,51,0.362472297,194.3870968,70.70967742,32,0.332329186,150.754717,47.1509434,53
28,competion,0.33191813,150.9056604,47.1509434,55,0.362472297,194.3870968,70.70967742,32,0.3339638,149.3508772,47.10526316,57
29,competion,0.332415546,150.537037,47.14814815,56,0.362472297,194.3870968,70.70967742,32,0.334391642,149.0344828,47.10344828,58
30,competion,0.333755392,149.5263158,47.14035088,59,0.362472297,194.3870968,70.70967742,32,0.336934301,147.1230769,47.09230769,65
31,competion,0.336667912,147.3076923,47.12307692,68,0.362248439,190.5454545,69.27272727,34,0.338462975,145.9428571,47.07142857,72
32,competion,0.339128237,145.5068493,47.10958904,77,0.362316142,191.7073171,69.70731707,42,0.340177485,144.7236842,47.06578947,78
33,competion,0.339724728,145.0933333,47.10666667,79,0.356309566,195.0625,69.5,50,0.3405912,144.3589744,47.05128205,80
34,competion,0.340011201,144.8947368,47.10526316,80,0.356604483,193.8627451,69.1372549,54,0.341045886,144.025,47.05,82
35,competion,0.337702044,146.3444444,47.11111111,94,0.356604483,193.8627451,69.1372549,54,0.343016191,142.5777778,47.04444444,93
36,competion,0.335370145,148.0961538,47.125,110,0.356604483,193.8627451,69.1372549,54,0.333682307,149.4716981,47.08490566,110
37,competion,0.332827034,150.0350877,47.14035088,119,0.356604483,193.8627451,69.1372549,54,0.333509952,149.6339286,47.08928571,116
38,competion,0.332850876,150.0263158,47.14035088,119,0.357101186,191.8421053,68.52631579,60,0.333646268,149.4513274,47.07079646,118
39,competion,0.334239988,149.0416667,47.13333333,125,0.355648277,191.9027778,68.13888889,75,0.33591553,147.8225806,47.07258065,129
40,competion,0.336461889,147.4469697,47.13636364,137,0.356119436,192.2435897,68.38461538,83,0.338064518,146.2335766,47.06569343,140
41,competion,0.338478432,145.8767123,47.10958904,150,0.356406408,193.2098765,68.80246914,86,0.339422821,145.2465753,47.05479452,149
42,competion,0.337945764,146.1904762,47.12244898,151,0.356501375,193.2098765,68.81481481,86,0.339779432,144.9530201,47.04697987,152
43,competion,0.33907526,145.3870968,47.11612903,158,0.356501375,193.2098765,68.81481481,86,0.34081335,144.1582278,47.03797468,161
44,competion,0.335230945,148.2934132,47.14371257,171,0.355397106,191.8255814,68.11627907,91,0.340879638,144.172619,47.05357143,172
45,competion,0.332898853,150.0698925,47.16129032,191,0.355030956,192.3195876,68.25773196,103,0.333551032,149.5212766,47.08510638,193
46,competion,0.332591253,150.2323232,47.14646465,203,0.357966055,197.539823,70.86725664,120,0.331312726,151.0101523,47.08121827,202
47,competion,0.330388669,151.8905473,47.15920398,207,0.358204294,196.9333333,70.7,127,0.331762882,150.71,47.085,206
48,competion,0.331739109,151.0485437,47.15533981,213,0.35818257,195.8548387,70.31451613,130,0.333529922,149.4205607,47.07943925,219
49,competion,0.333239354,149.8116592,47.14349776,230,0.35818257,195.8548387,70.31451613,129,0.334449351,148.7657658,47.08108108,229
50,competion,0.33414404,149.106383,47.14893617,243,0.358147878,195.328,70.12,131,0.335985089,147.8,47.07555556,233
51,competion,0.334590627,148.790795,47.14644351,245,0.358472795,196.3834586,70.57142857,139,0.336334771,147.4391304,47.05652174,237
52,competion,0.333703905,149.4795082,47.15163934,249,0.360278311,198.147651,71.65100671,155,0.337587698,146.5081967,47.05327869,251
53,competion,0.331826858,151.0536398,47.17624521,267,0.360013554,200.6390533,72.50295858,176,0.333191649,149.9034749,47.06949807,268
54,competion,0.330456667,152.0355872,47.17793594,289,0.359366841,199.7413793,72.05172414,182,0.329122138,152.9751773,47.09574468,292
55,competion,0.328980391,153.1689189,47.19256757,303,0.359916913,197.4748603,71.34078212,187,0.328982288,152.9265734,47.1013986,297
56,competion,0.32853972,153.4219269,47.19269103,308,0.359916913,197.4748603,71.34078212,187,0.329462249,152.5290102,47.10580205,303
57,competion,0.329317468,152.8252427,47.18122977,317,0.359197874,195.9945652,70.66847826,192,0.33078413,151.4565916,47.09003215,322
58,competion,0.330365027,151.9782609,47.16770186,330,0.359507846,196.69,70.98,207,0.331773251,150.7546584,47.09006211,332
59,competion,0.331793181,150.9881657,47.17159763,346,0.35862443,196.4136364,70.59090909,228,0.331603331,150.9939024,47.08841463,336
60,competion,0.330432378,151.8804665,47.17492711,351,0.358854165,196.4364407,70.64830508,246,0.331892571,150.75,47.0813253,341
61,competion,0.32928736,152.7507082,47.17847025,361,0.358862466,194.5632653,69.97959184,254,0.3322358,150.48,47.07714286,359
62,competion,0.327863273,153.9893048,47.18983957,385,0.358862466,194.5632653,69.97959184,254,0.329785572,152.3116531,47.09214092,379
63,competion,0.326410373,155.0512821,47.18461538,402,0.359340966,193.5524194,69.70564516,257,0.327094202,154.3092784,47.10309278,399
64,competion,0.324903902,156.4064039,47.18965517,417,0.359913315,193.6731518,69.86381323,268,0.326092384,155.047619,47.10776942,409
65,competion,0.32486287,156.4746988,47.19518072,425,0.360166825,195.0611511,70.42446043,290,0.326777702,154.5798526,47.11302211,418
66,competion,0.325379071,156.0754717,47.19811321,434,0.359982853,196.0264026,70.74257426,316,0.327640691,153.8711217,47.09069212,433
67,competion,0.32618009,155.4590909,47.18181818,451,0.35945696,194.8411215,70.17445483,331,0.32844878,153.3208431,47.09133489,444
68,competion,0.327105594,154.7866667,47.17333333,462,0.359459546,194.0733945,69.89908257,337,0.32914581,152.7579909,47.07990868,455
69,competion,0.326982515,154.8590308,47.16960352,468,0.359081931,193.8693009,69.75379939,339,0.329115958,152.759009,47.07657658,461
70,competion,0.325429464,156.0469083,47.18123667,484,0.358560465,193.5223881,69.49253731,345,0.328743804,153.1101512,47.0712743,481
71,competion,0.324883411,156.575,47.18333333,494,0.357762893,193.8522727,69.39204545,362,0.325567865,155.3942505,47.08418891,504
72,competion,0.32470667,156.6673347,47.18236473,516,0.358409712,196.2751323,70.44444444,387,0.323391656,157.147929,47.10650888,524
73,competion,0.323651187,157.3679061,47.18786693,529,0.358512572,195.4607595,70.17468354,407,0.324047151,156.5980583,47.10485437,533
74,competion,0.324459483,156.6621359,47.18834951,534,0.358244009,195.1306533,70.00502513,410,0.325048423,155.7844991,47.10018904,545
75,competion,0.325410965,155.9618321,47.18320611,542,0.357812842,194.5024752,69.66584158,416,0.325786508,155.2384473,47.09796673,556
76,competion,0.32635539,155.2007505,47.18761726,553,0.358084497,194.1925926,69.60740741,417,0.326478566,154.7312614,47.09506399,565
77,competion,0.327147247,154.7391304,47.17934783,570,0.358220956,194.1124402,69.61004785,429,0.326593376,154.5881295,47.08273381,576
78,competion,0.326377326,155.4547069,47.1722913,580,0.358449491,195.2721088,70.0861678,453,0.326571197,154.4787986,47.07773852,587
79,competion,0.326027598,155.7487002,47.17677643,594,0.358309167,196.4857768,70.47483589,469,0.326595101,154.4742268,47.07388316,603
80,competion,0.327546214,154.4307432,47.15709459,607,0.358397546,196.1956989,70.39139785,476,0.324590451,155.9202658,47.07973422,622
81,competion,0.327215988,154.6891447,47.16611842,624,0.358415841,195.6460554,70.19616205,479,0.323869579,156.5202593,47.09076175,636
82,competion,0.326618085,155.0548387,47.16612903,638,0.358801845,195.3673036,70.19745223,481,0.323929874,156.4584665,47.09265176,646
83,competion,0.3271479,154.6289809,47.16242038,647,0.358810203,194.9621849,70.05462185,488,0.324519693,156.0537125,47.08530806,652
84,competion,0.327304394,154.4881517,47.16113744,653,0.359412549,194.7414141,70.14949495,508,0.325134163,155.6027821,47.08346213,667
85,competion,0.328092343,153.9071207,47.15634675,665,0.351185913,196.0039216,68.44313725,523,0.32482432,156.1102603,47.08882083,672
86,competion,0.328610035,153.5553869,47.15326252,677,0.342619297,196.6425856,66.44106464,539,0.325373259,155.6827795,47.09214502,682
87,competion,0.328841158,153.4864865,47.15165165,681,0.340785664,195.5358491,65.56981132,543,0.32477714,156.1023739,47.09347181,693
88,competion,0.328671656,153.611276,47.15430267,693,0.339359285,195.0600375,65.01313321,543,0.324545055,156.3690304,47.09261939,709
89,competion,0.327127722,154.8506589,47.16105417,702,0.335785678,195.0595903,64.07635009,549,0.32312365,157.3579545,47.10369318,719
90,competion,0.32768491,154.3414286,47.16142857,716,0.322648147,195.9476534,60.95306859,566,0.322634309,157.7818182,47.11468531,729
91,competion,0.3266782,154.8926554,47.16949153,727,0.315540469,195.7943761,59.01405975,581,0.323016397,157.3986111,47.10833333,736
92,competion,0.326962183,154.6437588,47.16830295,732,0.311926502,195.7607573,58.03098107,594,0.323293512,157.4807163,47.1046832,742
93,competion,0.327978032,153.8447552,47.15384615,736,0.31301446,194.8634812,58.01023891,600,0.323925722,157.010989,47.10302198,744
94,competion,0.327896002,153.906815,47.15577191,743,0.312302625,195.2563667,57.95925297,602,0.324974815,156.0628415,47.10928962,750
95,competion,0.328255543,153.6079235,47.15437158,751,0.309023744,195.2828619,57.10815308,614,0.324842696,156.1136671,47.1150203,755
